,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon
70,"Khulna, Bangladesh",BGD,Bangladesh,Khulna,South Asia,0.156,"(22.845641, 89.5403279)",22.845641,89.54032790000002
71,"Rajshahi, Bangladesh",BGD,Bangladesh,Rajshahi,South Asia,0.192,"(24.3635886, 88.62413509999999)",24.363588600000003,88.62413509999998
72,"Rangpur, Bangladesh",BGD,Bangladesh,Rangpur,South Asia,0.206,"(25.7438916, 89.275227)",25.7438916,89.275227
73,"Sylhet, Bangladesh",BGD,Bangladesh,Sylhet,South Asia,0.32,"(24.904539, 91.8611011)",24.904539,91.8611011
74,,BIH,Bosnia and Herzegovina,,Europe and Central Asia,,"(1000.0, 1000.0)",,
75,"Corozal, Belize",BLZ,Belize,Corozal,Latin America and Caribbean,0.026,"(18.4030802, -88.3967536)",18.403080199999998,-88.3967536
76,"Orange Walk, Belize",BLZ,Belize,Orange Walk,Latin America and Caribbean,0.019,"(18.0842472, -88.5710266)",18.084247199999997,-88.5710266
77,"Belize (excluding Belize City South Side), Belize",BLZ,Belize,Belize (excluding Belize City South Side),Latin America and Caribbean,0.005,"(30.7326622, 31.7195459)",30.732662199999996,31.719545899999996
78,"Stann Creek, Belize",BLZ,Belize,Stann Creek,Latin America and Caribbean,0.013,"(16.8116631, -88.4016041)",16.811663100000004,-88.4016041
79,"Toledo, Belize",BLZ,Belize,Toledo,Latin America and Caribbean,0.019,"(16.2491923, -88.86469799999999)",16.2491923,-88.86469799999998
80,"Cayo, Belize",BLZ,Belize,Cayo,Latin America and Caribbean,0.054000000000000006,"(17.0984445, -88.94138650000001)",17.0984445,-88.94138650000002
81,"Belize City South Side, Belize",BLZ,Belize,Belize City South Side,Latin America and Caribbean,0.005,"(17.4891317, -88.188656)",17.489131699999998,-88.18865600000002
82,"Chuquisaca, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Chuquisaca,Latin America and Caribbean,0.145,"(-20.0249144, -64.1478236)",-20.024914399999997,-64.14782360000001
83,"La Paz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",La Paz,Latin America and Caribbean,0.077,"(-16.489689, -68.11929359999999)",-16.489689000000002,-68.11929359999999
84,"Cochabamba, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Cochabamba,Latin America and Caribbean,0.105,"(-17.4139766, -66.1653224)",-17.4139766,-66.1653224
85,"Oruro, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Oruro,Latin America and Caribbean,0.073,"(26.9373041, 90.4879916)",26.937304100000002,90.4879916
86,"Potosð, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Potosð,Latin America and Caribbean,0.168,"(1000.0, 1000.0)",,
87,"Tarija, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Tarija,Latin America and Caribbean,0.081,"(-21.5213825, -64.7280952)",-21.5213825,-64.7280952
88,"Santa Cruz, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Santa Cruz,Latin America and Caribbean,0.043,"(-17.8145819, -63.1560853)",-17.8145819,-63.1560853
89,"Beni, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Beni,Latin America and Caribbean,0.099,"(-14.3782747, -65.0957792)",-14.3782747,-65.0957792
90,"Pando, Bolivia, Plurinational State of",BOL,"Bolivia, Plurinational State of",Pando,Latin America and Caribbean,0.087,"(-10.7988901, -66.9988011)",-10.7988901,-66.99880110000001
91,"Acre, Brazil",BRA,Brazil,Acre,Latin America and Caribbean,0.07200000000000001,"(-9.0237964, -70.81199529999999)",-9.0237964,-70.81199529999998
92,"Alagoas, Brazil",BRA,Brazil,Alagoas,Latin America and Caribbean,0.042,"(-9.5713058, -36.7819505)",-9.571305800000001,-36.7819505
93,"Amapð, Brazil",BRA,Brazil,Amapð,Latin America and Caribbean,0.022,"(1000.0, 1000.0)",,
94,"Amazonas, Brazil",BRA,Brazil,Amazonas,Latin America and Caribbean,0.044,"(-3.4168427, -65.8560646)",-3.4168427,-65.85606460000001
95,"Bahia, Brazil",BRA,Brazil,Bahia,Latin America and Caribbean,0.029,"(-12.579738, -41.7007272)",-12.579738,-41.7007272
96,"Cearð, Brazil",BRA,Brazil,Cearð,Latin America and Caribbean,0.029,"(-21.3223397, -46.36941789999999)",-21.3223397,-46.36941789999999
97,"Distrito Federal, Brazil",BRA,Brazil,Distrito Federal,Latin America and Caribbean,0.008,"(-15.7997654, -47.8644715)",-15.7997654,-47.8644715
98,"Espðrito Santo, Brazil",BRA,Brazil,Espðrito Santo,Latin America and Caribbean,0.018000000000000002,"(1000.0, 1000.0)",,
99,"Goiðs, Brazil",BRA,Brazil,Goiðs,Latin America and Caribbean,0.017,"(1000.0, 1000.0)",,
100,"Maranhðo, Brazil",BRA,Brazil,Maranhðo,Latin America and Caribbean,0.046,"(-8.722408399999999, 125.5712576)",-8.722408399999999,125.57125759999998
101,"Mato Grosso, Brazil",BRA,Brazil,Mato Grosso,Latin America and Caribbean,0.019,"(-12.6818712, -56.921099)",-12.6818712,-56.921099
102,"Mato Grosso do Sul, Brazil",BRA,Brazil,Mato Grosso do Sul,Latin America and Caribbean,0.019,"(-20.7722295, -54.7851531)",-20.7722295,-54.785153099999995
103,"Minas Gerais, Brazil",BRA,Brazil,Minas Gerais,Latin America and Caribbean,0.021,"(-18.512178, -44.5550308)",-18.512178,-44.5550308
104,"Paranð, Brazil",BRA,Brazil,Paranð,Latin America and Caribbean,0.016,"(1000.0, 1000.0)",,
105,"Paraðba, Brazil",BRA,Brazil,Paraðba,Latin America and Caribbean,0.032,"(1000.0, 1000.0)",,
106,"Parð, Brazil",BRA,Brazil,Parð,Latin America and Caribbean,0.035,"(1000.0, 1000.0)",,
107,"Pernambuco, Brazil",BRA,Brazil,Pernambuco,Latin America and Caribbean,0.027000000000000003,"(-8.8137173, -36.954107)",-8.8137173,-36.954107
108,"Piauð, Brazil",BRA,Brazil,Piauð,Latin America and Caribbean,0.039,"(1000.0, 1000.0)",,
109,"Rio Grande do Norte, Brazil",BRA,Brazil,Rio Grande do Norte,Latin America and Caribbean,0.03,"(-5.402580299999999, -36.954107)",-5.402580299999999,-36.954107
110,"Rio Grande do Sul, Brazil",BRA,Brazil,Rio Grande do Sul,Latin America and Caribbean,0.012,"(-30.0346316, -51.2176986)",-30.0346316,-51.21769860000001
111,"Rio de Janeiro, Brazil",BRA,Brazil,Rio de Janeiro,Latin America and Caribbean,0.011,"(-22.9068467, -43.1728965)",-22.9068467,-43.1728965
112,"Rondðnia, Brazil",BRA,Brazil,Rondðnia,Latin America and Caribbean,0.024,"(-17.8251657, 31.03351)",-17.8251657,31.033509999999996
113,"Roraima, Brazil",BRA,Brazil,Roraima,Latin America and Caribbean,0.029,"(2.7375971, -62.0750998)",2.7375971000000003,-62.075099800000004
114,"Santa Catarina, Brazil",BRA,Brazil,Santa Catarina,Latin America and Caribbean,0.019,"(-27.2423392, -50.2188556)",-27.2423392,-50.21885560000001
115,"Sergipe, Brazil",BRA,Brazil,Sergipe,Latin America and Caribbean,0.034,"(-10.5740934, -37.3856581)",-10.5740934,-37.3856581
116,"Sðo Paulo, Brazil",BRA,Brazil,Sðo Paulo,Latin America and Caribbean,0.012,"(-23.5671844, -46.7387185)",-23.5671844,-46.7387185
117,"Tocantins, Brazil",BRA,Brazil,Tocantins,Latin America and Caribbean,0.03,"(-10.17528, -48.2982474)",-10.17528,-48.2982474
118,,BRB,Barbados,,Latin America and Caribbean,,"(1000.0, 1000.0)",,
119,"Bumthang, Bhutan",BTN,Bhutan,Bumthang,South Asia,0.042,"(27.641839, 90.6773046)",27.641839,90.6773046
120,"Chukha, Bhutan",BTN,Bhutan,Chukha,South Asia,0.121,"(27.0784304, 89.4742177)",27.078430400000002,89.4742177
121,"Dagana, Bhutan",BTN,Bhutan,Dagana,South Asia,0.222,"(27.0322861, 89.8879304)",27.032286100000004,89.8879304
122,"Haa, Bhutan",BTN,Bhutan,Haa,South Asia,0.059,"(27.2651669, 89.1705998)",27.2651669,89.1705998
123,"Lhuntse, Bhutan",BTN,Bhutan,Lhuntse,South Asia,0.151,"(27.8264989, 91.13530200000001)",27.8264989,91.135302
124,"Mongar, Bhutan",BTN,Bhutan,Mongar,South Asia,0.165,"(27.2617059, 91.28910359999999)",27.26170590000001,91.2891036
125,"Paro, Bhutan",BTN,Bhutan,Paro,South Asia,0.026,"(27.428684, 89.41636539999999)",27.428684000000004,89.41636539999998
126,"Pemagatshel, Bhutan",BTN,Bhutan,Pemagatshel,South Asia,0.128,"(27.98785, 86.9250261)",27.98785,86.9250261
127,"Punakha, Bhutan",BTN,Bhutan,Punakha,South Asia,0.08800000000000001,"(27.5920869, 89.87974589999999)",27.5920869,89.87974589999996
128,"Samdrup Jongkhar, Bhutan",BTN,Bhutan,Samdrup Jongkhar,South Asia,0.149,"(26.8035682, 91.5039207)",26.803568199999997,91.50392070000001
129,"Samtse, Bhutan",BTN,Bhutan,Samtse,South Asia,0.197,"(27.0291832, 89.0561532)",27.0291832,89.0561532
130,"Sarpang, Bhutan",BTN,Bhutan,Sarpang,South Asia,0.102,"(-2.5546618, 29.6035495)",-2.5546618,29.6035495
131,"Thimphu, Bhutan",BTN,Bhutan,Thimphu,South Asia,0.016,"(27.4727924, 89.6392863)",27.4727924,89.6392863
132,"Trashigang, Bhutan",BTN,Bhutan,Trashigang,South Asia,0.132,"(27.3325014, 91.55234349999999)",27.332501399999998,91.5523435
133,"Trashiyangtse, Bhutan",BTN,Bhutan,Trashiyangtse,South Asia,0.121,"(-20.3446313, 44.7006138)",-20.3446313,44.7006138
134,"Trongsa, Bhutan",BTN,Bhutan,Trongsa,South Asia,0.14800000000000002,"(27.5002269, 90.5080634)",27.500226899999998,90.50806340000001
135,"Tsirang, Bhutan",BTN,Bhutan,Tsirang,South Asia,0.196,"(27.032207, 90.1869644)",27.032207,90.18696440000001
136,"Wangdi, Bhutan",BTN,Bhutan,Wangdi,South Asia,0.099,"(27.4879018, 89.8996196)",27.4879018,89.8996196
137,"Zhemgang, Bhutan",BTN,Bhutan,Zhemgang,South Asia,0.184,"(27.076975, 90.8294002)",27.076975,90.8294002
138,"Ombella-M'poko, Central African Republic",CAF,Central African Republic,Ombella-M'poko,Sub-Saharan Africa,0.403,"(5.1188825, 18.4276047)",5.1188825,18.4276047
139,"Lobaye, Central African Republic",CAF,Central African Republic,Lobaye,Sub-Saharan Africa,0.494,"(4.3525981, 17.4795173)",4.3525981,17.4795173
140,"Mambðrð-Kadði, Central African Republic",CAF,Central African Republic,Mambðrð-Kadði,Sub-Saharan Africa,0.4970000000000001,"(8.154077, 123.258793)",8.154077000000001,123.258793
141,"Nana-Mambðrð, Central African Republic",CAF,Central African Republic,Nana-Mambðrð,Sub-Saharan Africa,0.52,"(1000.0, 1000.0)",,
142,"Sangha-Mbaðrð, Central African Republic",CAF,Central African Republic,Sangha-Mbaðrð,Sub-Saharan Africa,0.505,"(15.341806, -84.6060449)",15.341806,-84.6060449
143,"Ouham-Pendð, Central African Republic",CAF,Central African Republic,Ouham-Pendð,Sub-Saharan Africa,0.479,"(1000.0, 1000.0)",,
144,"Ouham, Central African Republic",CAF,Central African Republic,Ouham,Sub-Saharan Africa,0.5329999999999999,"(7.090910999999999, 17.668887)",7.0909109999999975,17.668886999999994
145,"Kðmo, Central African Republic",CAF,Central African Republic,Kðmo,Sub-Saharan Africa,0.501,"(1000.0, 1000.0)",,
146,"Nana-Grðbizi, Central African Republic",CAF,Central African Republic,Nana-Grðbizi,Sub-Saharan Africa,0.419,"(1000.0, 1000.0)",,
147,"Ouaka, Central African Republic",CAF,Central African Republic,Ouaka,Sub-Saharan Africa,0.471,"(6.3168216, 20.7122465)",6.316821599999999,20.7122465
148,"Haute-Kotto, Central African Republic",CAF,Central African Republic,Haute-Kotto,Sub-Saharan Africa,0.42,"(7.7964379, 23.3823545)",7.7964379,23.3823545
149,"Bamingui-Bangoran, Central African Republic",CAF,Central African Republic,Bamingui-Bangoran,Sub-Saharan Africa,0.364,"(8.2733455, 20.7122465)",8.2733455,20.7122465
150,"Basse-Kotto, Central African Republic",CAF,Central African Republic,Basse-Kotto,Sub-Saharan Africa,0.544,"(4.8719319, 21.2845025)",4.8719319,21.2845025
151,"Mbomou, Central African Republic",CAF,Central African Republic,Mbomou,Sub-Saharan Africa,0.491,"(5.356142699999999, -3.9666402)",5.356142699999999,-3.9666402
152,"Haut-Mbomou, Central African Republic",CAF,Central African Republic,Haut-Mbomou,Sub-Saharan Africa,0.418,"(6.2537134, 25.4733554)",6.2537134000000005,25.4733554
153,"Bangui, Central African Republic",CAF,Central African Republic,Bangui,Sub-Saharan Africa,0.197,"(4.3946735, 18.5581899)",4.3946735,18.5581899
154,"East, China",CHN,China,East,East Asia and the Pacific,0.008,"(42.4708101, -92.35780319999999)",42.4708101,-92.3578032
155,"Central, China",CHN,China,Central,East Asia and the Pacific,0.013,"(29.70534, -95.5483893)",29.705340000000003,-95.5483893
156,"West, China",CHN,China,West,East Asia and the Pacific,0.034,"(35.86166, 104.195397)",35.86166,104.195397
157,"Centre, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre,Sub-Saharan Africa,0.359,"(-8.6529334, 117.3616476)",-8.6529334,117.3616476
158,"Centre-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Est,Sub-Saharan Africa,0.297,"(1000.0, 1000.0)",,
159,"Centre-Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Nord,Sub-Saharan Africa,0.322,"(13.4540922, -16.6733441)",13.4540922,-16.673344099999998
160,"Centre-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Centre-Ouest,Sub-Saharan Africa,0.334,"(1000.0, 1000.0)",,
161,"Nord, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord,Sub-Saharan Africa,0.477,"(5.361844, -4.0231596)",5.3618440000000005,-4.0231596
162,"Nord-Est, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Est,Sub-Saharan Africa,0.374,"(5.308612999999999, -3.9468284)",5.3086129999999985,-3.9468284
163,"Nord-Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.518,"(7.702782699999999, -5.036833)",7.702782699999997,-5.0368330000000014
164,"Ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.38,"(7.539988999999999, -5.547079999999999)",7.5399889999999985,-5.5470799999999985
165,"Sud sans Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.264,"(1000.0, 1000.0)",,
166,"Sud-ouest, Cote d'Ivoire",CIV,Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.394,"(4.7459773, -6.6143386)",4.7459773,-6.6143386
167,"Ville d'Abidjan, Cote d'Ivoire",CIV,Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.109,"(5.3428333, -4.0264183)",5.3428333,-4.0264183
168,"Adamaoua, Cameroon",CMR,Cameroon,Adamaoua,Sub-Saharan Africa,0.269,"(6.9181954, 12.8054753)",6.9181954,12.805475300000001
169,"Centre (sans Yaoundð), Cameroon",CMR,Cameroon,Centre (sans Yaoundð),Sub-Saharan Africa,0.179,"(1000.0, 1000.0)",,
170,"Douala, Cameroon",CMR,Cameroon,Douala,Sub-Saharan Africa,0.024,"(4.0510564, 9.7678687)",4.0510564,9.7678687
171,"Est, Cameroon",CMR,Cameroon,Est,Sub-Saharan Africa,0.274,"(3.950512799999999, 13.914399)",3.950512799999999,13.914399
172,"Extrðme-Nord, Cameroon",CMR,Cameroon,Extrðme-Nord,Sub-Saharan Africa,0.54,"(1000.0, 1000.0)",,
173,"Littoral (sans Douala), Cameroon",CMR,Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.091,"(4.0134386, 9.717007299999999)",4.0134386,9.7170073
174,"Nord, Cameroon",CMR,Cameroon,Nord,Sub-Saharan Africa,0.458,"(8.580901299999999, 13.914399)",8.580901299999999,13.914399
175,"Nord-Ouest, Cameroon",CMR,Cameroon,Nord-Ouest,Sub-Saharan Africa,0.16699999999999998,"(6.470373899999999, 10.439656)",6.4703738999999985,10.439656
176,"Ouest, Cameroon",CMR,Cameroon,Ouest,Sub-Saharan Africa,0.146,"(5.4638158, 10.8000051)",5.4638158,10.8000051
177,"Sud, Cameroon",CMR,Cameroon,Sud,Sub-Saharan Africa,0.131,"(2.7202832, 11.7068294)",2.7202832000000003,11.7068294
178,"Sud-Ouest, Cameroon",CMR,Cameroon,Sud-Ouest,Sub-Saharan Africa,0.129,"(5.1573493, 9.367308399999999)",5.1573493,9.3673084
179,"Yaoundð, Cameroon",CMR,Cameroon,Yaoundð,Sub-Saharan Africa,0.026,"(1000.0, 1000.0)",,
180,"Kinshasa, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.102,"(-4.4419311, 15.2662931)",-4.4419311,15.266293099999999
181,"Bandundu, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.435,"(-4.163679, 18.8076195)",-4.163679,18.8076195
182,"Bas-Congo, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.393,"(-5.2365685, 13.914399)",-5.2365685,13.914399
183,"ðquateur, Congo, Democratic Republic of the",COD,"Congo, Democratic Republic of the",ðquateur,Sub-Saharan Africa,0.48,"(1000.0, 1000.0)",,
